keys,en,pt_BR
ui.hud.ap_counter,AP %d/%d,PA %d/%d
ui.hud.enemies,ENEMIES,INIMIGOS
ui.hud.alert,ALERT %d%%,ALERTA %d%%
ui.button.end_turn,END,FIM
ui.banner.enemy_turn,Enemy Turn,Turno Inimigo
ui.banner.busted,Busted,Capturado
ui.main_menu.title,MAIN MENU,MENU PRINCIPAL
ui.main_menu.new_game,NEW GAME,NOVO JOGO
ui.main_menu.load,LOAD GAME,CARREGAR JOGO
ui.main_menu.controls,CONTROLS,CONTROLES
ui.main_menu.options,OPTIONS,OPÇÕES
ui.main_menu.quit,QUIT TO DESKTOP,SAIR DO JOGO
ui.controls.title,CONTROLS,CONTROLES
ui.controls.back,BACK,VOLTAR
ui.context_menu.detonate,Detonate (Enter),Detonar (Enter)
ui.context_menu.cancel,Cancel (Esc),Cancelar (Esc)
